Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"FBXO5","F-Box Protein 5","Protein Coding","37","GC06M152970","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO5"
"FCRL4","Fc Receptor Like 4","Protein Coding","37","GC01M157543","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL4"
"CD2BP2","CD2 Cytoplasmic Tail Binding Protein 2","Protein Coding","37","GC16M030350","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2BP2"
"MPRIP","Myosin Phosphatase Rho Interacting Protein","Protein Coding","37","GC17P017042","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPRIP"
"TNFSF8","TNF Superfamily Member 8","Protein Coding","37","GC09M114893","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF8"
"TRIM31","Tripartite Motif Containing 31","Protein Coding","37","GC06M030871","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM31"
"NHS","NHS Actin Remodeling Regulator","Protein Coding","37","GC0XP017393","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHS"
"UXT","Ubiquitously Expressed Prefoldin Like Chaperone","Protein Coding","37","GC0XM047651","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UXT"
"EXOC3","Exocyst Complex Component 3","Protein Coding","36","GC05P000443","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC3"
"ABHD14B","Abhydrolase Domain Containing 14B","Protein Coding","36","GC03M051968","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14B"
"TXNDC9","Thioredoxin Domain Containing 9","Protein Coding","36","GC02M099301","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC9"
"GOLGA3","Golgin A3","Protein Coding","35","GC12M132768","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA3"
"FAM3A","FAM3 Metabolism Regulating Signaling Molecule A","Protein Coding","35","GC0XM154506","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM3A"
"RIC8A","RIC8 Guanine Nucleotide Exchange Factor A","Protein Coding","35","GC11P000207","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIC8A"
"CILP2","Cartilage Intermediate Layer Protein 2","Protein Coding","35","GC19P019538","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CILP2"
"PROM2","Prominin 2","Protein Coding","35","GC02P095274","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROM2"
"KCTD12","Potassium Channel Tetramerization Domain Containing 12","Protein Coding","35","GC13M076880","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCTD12"
"H3-3A","H3.3 Histone A","Protein Coding","34","GC01P226062","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3A"
"PEAK1","Pseudopodium Enriched Atypical Kinase 1","Protein Coding","34","GC15M077100","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEAK1"
"PLEKHA2","Pleckstrin Homology Domain Containing A2","Protein Coding","34","GC08P038877","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHA2"
"SRRM4","Serine/Arginine Repetitive Matrix 4","Protein Coding","34","GC12P118981","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRM4"
"ELOC","Elongin C","Protein Coding","33","GC08M073939","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOC"
"SRPRA","SRP Receptor Subunit Alpha","Protein Coding","29","GC11M126263","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPRA"
"MIR499A","MicroRNA 499a","RNA Gene","21","GC20P034990","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR499A"
"MHS6","Malignant Hyperthermia Susceptibility 6","Genetic Locus","3","GC05U990037","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MHS6"
"LOC109461478","ATXN8 Opposite Strand (Non-Protein Coding) Repeat Instability Region","Biological Region","1","GC13P070140","0.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109461478"
"RHOH","Ras Homolog Family Member H","Protein Coding","43","GC04P040192","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOH"
"GPRC5A","G Protein-Coupled Receptor Class C Group 5 Member A","Protein Coding","41","GC12P012890","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPRC5A"
"PDGFRL","Platelet Derived Growth Factor Receptor Like","Protein Coding","41","GC08P017576","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRL"
"RAB4A","RAB4A, Member RAS Oncogene Family","Protein Coding","41","GC01P229271","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB4A"
"MEP1B","Meprin A Subunit Beta","Protein Coding","40","GC18P032185","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEP1B"
"RAB34","RAB34, Member RAS Oncogene Family","Protein Coding","38","GC17M028714","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB34"
"IL36G","Interleukin 36 Gamma","Protein Coding","38","GC02P112973","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36G"
"SLC35F2","Solute Carrier Family 35 Member F2","Protein Coding","37","GC11M107790","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35F2"
"CAPRIN2","Caprin Family Member 2","Protein Coding","35","GC12M030709","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPRIN2"
"TFPT","TCF3 Fusion Partner","Protein Coding","35","GC19M054107","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPT"
"CBLIF","Cobalamin Binding Intrinsic Factor","Protein Coding","34","GC11M059829","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLIF"
"JMJD7","Jumonji Domain Containing 7","Protein Coding","34","GC15P041829","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD7"
"FOXQ1","Forkhead Box Q1","Protein Coding","33","GC06P001312","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXQ1"
"PTRH1","Peptidyl-TRNA Hydrolase 1 Homolog","Protein Coding","33","GC09M127724","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTRH1"
"C2orf88","Chromosome 2 Open Reading Frame 88","Protein Coding","31","GC02P189879","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf88"
"SELENOP","Selenoprotein P","Protein Coding","31","GC05M042800","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOP"
"SNORC","Secondary Ossification Center Associated Regulator Of Chondrocyte Maturation","Protein Coding","21","GC02P232858","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORC"
"CLNS1AP1","Chloride Nucleotide-Sensitive Channel 1A Pseudogene 1","Pseudogene","7","GC06M054484","0.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLNS1AP1"
"ETV6","ETS Variant Transcription Factor 6","Protein Coding","46","GC12P011649","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV6"
"SOX5","SRY-Box Transcription Factor 5","Protein Coding","46","GC12M023529","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX5"
"SLC18A1","Solute Carrier Family 18 Member A1","Protein Coding","45","GC08M020144","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A1"
"ADIPOR1","Adiponectin Receptor 1","Protein Coding","44","GC01M202940","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1"
"CNTN1","Contactin 1","Protein Coding","44","GC12P040692","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN1"
"DAB2","DAB Adaptor Protein 2","Protein Coding","43","GC05M039371","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2"
"FZR1","Fizzy And Cell Division Cycle 20 Related 1","Protein Coding","42","GC19P003506","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZR1"
"PPP1R3A","Protein Phosphatase 1 Regulatory Subunit 3A","Protein Coding","42","GC07M113876","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3A"
"TPR","Translocated Promoter Region, Nuclear Basket Protein","Protein Coding","42","GC01M186319","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPR"
"NFKBIB","NFKB Inhibitor Beta","Protein Coding","41","GC19P038899","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIB"
"RPGR","Retinitis Pigmentosa GTPase Regulator","Protein Coding","40","GC0XM038269","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGR"
"SS18","SS18 Subunit Of BAF Chromatin Remodeling Complex","Protein Coding","40","GC18M026016","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS18"
"DPYSL3","Dihydropyrimidinase Like 3","Protein Coding","39","GC05M147390","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL3"
"MYEF2","Myelin Expression Factor 2","Protein Coding","37","GC15M048134","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYEF2"
"SEC16B","SEC16 Homolog B, Endoplasmic Reticulum Export Factor","Protein Coding","37","GC01M177923","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC16B"
"SRRT","Serrate, RNA Effector Molecule","Protein Coding","37","GC07P100875","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRT"
"LRRC8B","Leucine Rich Repeat Containing 8 VRAC Subunit B","Protein Coding","36","GC01P089525","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC8B"
"DOK3","Docking Protein 3","Protein Coding","36","GC05M177501","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK3"
"STMN3","Stathmin 3","Protein Coding","36","GC20M063639","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STMN3"
"FXYD4","FXYD Domain Containing Ion Transport Regulator 4","Protein Coding","35","GC10P043371","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD4"
"SH2D3A","SH2 Domain Containing 3A","Protein Coding","35","GC19M006752","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D3A"
"SSPN","Sarcospan","Protein Coding","35","GC12P026118","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSPN"
"PTCD3","Pentatricopeptide Repeat Domain 3","Protein Coding","35","GC02P086106","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCD3"
"NPAT","Nuclear Protein, Coactivator Of Histone Transcription","Protein Coding","35","GC11M108157","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPAT"
"VPS13C","Vacuolar Protein Sorting 13 Homolog C","Protein Coding","35","GC15M061852","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13C"
"OR51E2","Olfactory Receptor Family 51 Subfamily E Member 2","Protein Coding","34","GC11M004680","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OR51E2"
"CCN1","Cellular Communication Network Factor 1","Protein Coding","31","GC01P085581","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1"
"TOMM70","Translocase Of Outer Mitochondrial Membrane 70","Protein Coding","29","GC03M100364","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM70"
"GATD3A","Glutamine Amidotransferase Like Class 1 Domain Containing 3A","Protein Coding","27","GC21P044134","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATD3A"
"LOC109609705","Transcription Factor 4 Repeat Instability Region","Biological Region","1","GC18P055587","0.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109609705"
"SIRT2","Sirtuin 2","Protein Coding","48","GC19M038878","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT2"
"RXRB","Retinoid X Receptor Beta","Protein Coding","47","GC06M033193","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRB"
"DDB2","Damage Specific DNA Binding Protein 2","Protein Coding","45","GC11P047237","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB2"
"SLC29A2","Solute Carrier Family 29 Member 2","Protein Coding","45","GC11M066363","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC29A2"
"RHOB","Ras Homolog Family Member B","Protein Coding","44","GC02P020447","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOB"
"ATP6V0A1","ATPase H+ Transporting V0 Subunit A1","Protein Coding","43","GC17P042458","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0A1"
"NRIP1","Nuclear Receptor Interacting Protein 1","Protein Coding","43","GC21M014961","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRIP1"
"TNXB","Tenascin XB","Protein Coding","43","GC06M032635","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXB"
"USP2","Ubiquitin Specific Peptidase 2","Protein Coding","43","GC11M119355","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP2"
"ZFP36L1","ZFP36 Ring Finger Protein Like 1","Protein Coding","43","GC14M068787","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP36L1"
"COL9A2","Collagen Type IX Alpha 2 Chain","Protein Coding","42","GC01M040300","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL9A2"
"MYBL2","MYB Proto-Oncogene Like 2","Protein Coding","42","GC20P043667","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL2"
"SIX3","SIX Homeobox 3","Protein Coding","42","GC02P044941","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIX3"
"TSPAN7","Tetraspanin 7","Protein Coding","42","GC0XP038561","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN7"
"USP25","Ubiquitin Specific Peptidase 25","Protein Coding","42","GC21P015730","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP25"
"ADAM15","ADAM Metallopeptidase Domain 15","Protein Coding","41","GC01P155023","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM15"
"RERE","Arginine-Glutamic Acid Dipeptide Repeats","Protein Coding","41","GC01M008364","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RERE"
"ID3","Inhibitor Of DNA Binding 3, HLH Protein","Protein Coding","41","GC01M023557","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID3"
"VAMP8","Vesicle Associated Membrane Protein 8","Protein Coding","41","GC02P085561","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP8"
"DPEP2","Dipeptidase 2","Protein Coding","40","GC16M067987","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPEP2"
"KRT2","Keratin 2","Protein Coding","40","GC12M052647","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT2"
"VSX2","Visual System Homeobox 2","Protein Coding","40","GC14P074239","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSX2"
"CRYBB1","Crystallin Beta B1","Protein Coding","39","GC22M026599","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYBB1"
"MYBL1","MYB Proto-Oncogene Like 1","Protein Coding","39","GC08M066596","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL1"
"PSG1","Pregnancy Specific Beta-1-Glycoprotein 1","Protein Coding","39","GC19M042866","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG1"
"OAZ1","Ornithine Decarboxylase Antizyme 1","Protein Coding","39","GC19P002269","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAZ1"
"TINAGL1","Tubulointerstitial Nephritis Antigen Like 1","Protein Coding","39","GC01P031576","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINAGL1"
"TRIM29","Tripartite Motif Containing 29","Protein Coding","39","GC11M120111","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM29"
"SCAMP1","Secretory Carrier Membrane Protein 1","Protein Coding","39","GC05P078360","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAMP1"
"ECE2","Endothelin Converting Enzyme 2","Protein Coding","38","GC03P184276","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECE2"
"CDC42EP3","CDC42 Effector Protein 3","Protein Coding","38","GC02M037610","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42EP3"
"PRLHR","Prolactin Releasing Hormone Receptor","Protein Coding","38","GC10M118590","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRLHR"
"IPO7","Importin 7","Protein Coding","38","GC11P009384","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO7"
"UBXN6","UBX Domain Protein 6","Protein Coding","38","GC19M004444","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBXN6"
"AKAP11","A-Kinase Anchoring Protein 11","Protein Coding","37","GC13P042272","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP11"
"A1BG","Alpha-1-B Glycoprotein","Protein Coding","37","GC19M058345","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A1BG"
"HOPX","HOP Homeobox","Protein Coding","37","GC04M056647","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOPX"
"CLEC4G","C-Type Lectin Domain Family 4 Member G","Protein Coding","37","GC19M007728","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4G"
"CHAC1","ChaC Glutathione Specific Gamma-Glutamylcyclotransferase 1","Protein Coding","37","GC15P040942","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAC1"
"PSG3","Pregnancy Specific Beta-1-Glycoprotein 3","Protein Coding","37","GC19M042721","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG3"
"SEMA3G","Semaphorin 3G","Protein Coding","37","GC03M052433","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3G"
"TRIM17","Tripartite Motif Containing 17","Protein Coding","37","GC01M228407","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM17"
"TMPRSS11A","Transmembrane Serine Protease 11A","Protein Coding","37","GC04M067909","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS11A"
"GDPD2","Glycerophosphodiester Phosphodiesterase Domain Containing 2","Protein Coding","36","GC0XP070423","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDPD2"
"CCDC68","Coiled-Coil Domain Containing 68","Protein Coding","36","GC18M054901","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC68"
"RIMBP2","RIMS Binding Protein 2","Protein Coding","36","GC12M130396","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIMBP2"
"MPP6","Membrane Palmitoylated Protein 6","Protein Coding","36","GC07P024573","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP6"
"DCP1B","Decapping MRNA 1B","Protein Coding","36","GC12M001941","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCP1B"
"CORO1B","Coronin 1B","Protein Coding","36","GC11M067435","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CORO1B"
"IFI44","Interferon Induced Protein 44","Protein Coding","36","GC01P078649","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI44"
"KRT75","Keratin 75","Protein Coding","36","GC12M052425","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT75"
"PSG4","Pregnancy Specific Beta-1-Glycoprotein 4","Protein Coding","35","GC19M043379","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG4"
"KIF21B","Kinesin Family Member 21B","Protein Coding","35","GC01M200938","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF21B"
"MIEN1","Migration And Invasion Enhancer 1","Protein Coding","33","GC17M039728","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIEN1"
"LYPD6B","LY6/PLAUR Domain Containing 6B","Protein Coding","33","GC02P149038","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYPD6B"
"FRYL","FRY Like Transcription Coactivator","Protein Coding","33","GC04M048499","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRYL"
"HID1","HID1 Domain Containing","Protein Coding","33","GC17M074950","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HID1"
"EBPL","EBP Like","Protein Coding","33","GC13M049660","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBPL"
"PSG5","Pregnancy Specific Beta-1-Glycoprotein 5","Protein Coding","33","GC19M043166","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG5"
"KLHL38","Kelch Like Family Member 38","Protein Coding","33","GC08M123645","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL38"
"GSTT1","Glutathione S-Transferase Theta 1","Protein Coding","32","GC22Mi00270","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTT1"
"PSG11","Pregnancy Specific Beta-1-Glycoprotein 11","Protein Coding","32","GC19M043187","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG11"
"SLC45A1","Solute Carrier Family 45 Member 1","Protein Coding","32","GC01P008317","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC45A1"
"SLC10A3","Solute Carrier Family 10 Member 3","Protein Coding","32","GC0XM154488","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A3"
"TXNDC16","Thioredoxin Domain Containing 16","Protein Coding","32","GC14M052430","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC16"
"C1orf122","Chromosome 1 Open Reading Frame 122","Protein Coding","29","GC01P037806","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf122"
"MUCL3","Mucin Like 3","Protein Coding","26","GC06P047945","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUCL3"
"MIR137HG","MIR137 Host Gene","RNA Gene","20","GC01M097935","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137HG"
"PCGEM1","PCGEM1 Prostate-Specific Transcript","RNA Gene","18","GC02P192749","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGEM1"
"OR1F12","Olfactory Receptor Family 1 Subfamily F Member 12","Protein Coding","15","GC06P028073","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OR1F12"
"LINC01239","Long Intergenic Non-Protein Coding RNA 1239","RNA Gene","12","GC09P022238","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01239"
"MIR302E","MicroRNA 302e","RNA Gene","9","GC11P007234","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302E"
"LOC101928937","Uncharacterized LOC101928937","RNA Gene","8","GC12P099093","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101928937"
"MTCO2P12","MT-CO2 Pseudogene 12","Pseudogene","6","GC01P001433","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTCO2P12"
"MALT1","MALT1 Paracaspase","Protein Coding","47","GC18P058671","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALT1"
"USP15","Ubiquitin Specific Peptidase 15","Protein Coding","47","GC12P062260","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP15"
"ETV1","ETS Variant Transcription Factor 1","Protein Coding","46","GC07M013891","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV1"
"HCFC1","Host Cell Factor C1","Protein Coding","46","GC0XM153947","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCFC1"
"PTPN2","Protein Tyrosine Phosphatase Non-Receptor Type 2","Protein Coding","46","GC18M017325","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2"
"PSMA6","Proteasome 20S Subunit Alpha 6","Protein Coding","46","GC14P035278","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA6"
"ERG","ETS Transcription Factor ERG","Protein Coding","45","GC21M038367","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERG"
"CSTB","Cystatin B","Protein Coding","45","GC21M043772","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSTB"
"ARHGAP26","Rho GTPase Activating Protein 26","Protein Coding","44","GC05P142770","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP26"
"HMGA2","High Mobility Group AT-Hook 2","Protein Coding","44","GC12P065824","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA2"
"CPE","Carboxypeptidase E","Protein Coding","44","GC04P165361","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPE"
"DDIT4","DNA Damage Inducible Transcript 4","Protein Coding","44","GC10P072273","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT4"
"NDUFS2","NADH:Ubiquinone Oxidoreductase Core Subunit S2","Protein Coding","44","GC01P161197","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS2"
"CFL2","Cofilin 2","Protein Coding","44","GC14M034706","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFL2"
"TFDP1","Transcription Factor Dp-1","Protein Coding","44","GC13P113584","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFDP1"
"VAMP1","Vesicle Associated Membrane Protein 1","Protein Coding","44","GC12M006462","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP1"
"WDR5","WD Repeat Domain 5","Protein Coding","44","GC09P134135","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR5"
"GFRA2","GDNF Family Receptor Alpha 2","Protein Coding","43","GC08M021690","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFRA2"
"FAF1","Fas Associated Factor 1","Protein Coding","43","GC01M050439","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAF1"
"COL6A2","Collagen Type VI Alpha 2 Chain","Protein Coding","43","GC21P046098","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A2"
"HPN","Hepsin","Protein Coding","43","GC19P035040","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPN"
"CRX","Cone-Rod Homeobox","Protein Coding","43","GC19P047819","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRX"
"PER2","Period Circadian Regulator 2","Protein Coding","43","GC02M238244","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER2"
"RPS20","Ribosomal Protein S20","Protein Coding","43","GC08M056067","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20"
"PTPN5","Protein Tyrosine Phosphatase Non-Receptor Type 5","Protein Coding","43","GC11M018727","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN5"
"IRF6","Interferon Regulatory Factor 6","Protein Coding","43","GC01M209785","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF6"
"TANK","TRAF Family Member Associated NFKB Activator","Protein Coding","43","GC02P161136","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANK"
"GATAD2B","GATA Zinc Finger Domain Containing 2B","Protein Coding","42","GC01M153805","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATAD2B"
"CCNA1","Cyclin A1","Protein Coding","42","GC13P036431","0.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA1"
